region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_for_purchase,saved_no_purpose,digital_payment_other,mobile_payment_bill,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,prefer_digital_fin,prefer_digital,saved_any,region_cleaned,biz_loan_source_missing,biz_loan_missing,loan_purpose_group_missing,loan_purpose_missing,saved_for_purchase_missing,saved_no_purpose_missing,digital_payment_other_missing,mobile_payment_bill_missing,govt_digital_pay_acc_missing,digital_pay_missing,digital_pay_acc_missing,govt_payment_recv_missing,prefer_digital_fin_missing,prefer_digital_missing
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.73683851106327,0.0,0.19707036303845,0.19707036303845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Upper middle income,all,all,0.105537448910017,0.0,0.0544259590711968,0.0544259590711968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.938883535262303,0.0,0.512584801316979,0.512584801316979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.904686393837703,0.0,0.247516732852526,0.247516732852526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.710085305189943,0.0,0.15475373707564,0.15475373707564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.709915017921418,0.0,0.304081239491926,0.304081239491926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.964220483126666,0.0,0.513257510045869,0.513257510045869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Upper middle income,all,all,0.254710971514235,0.0,0.082629639239977,0.082629639239977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.42105092298605,0.0,0.0674081553230585,0.0674081553230585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.423434543670765,0.0,0.232819688364814,0.232819688364814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.930468690333371,0.0,0.469420605703716,0.469420605703716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.443099657932493,0.0,0.0494852117103837,0.0494852117103837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.867732440844811,0.0,0.403450336826119,0.403450336826119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Lower middle income,all,all,0.0375726428765218,0.0,0.0088916236284544,0.0088916236284544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
East Asia & Pacific (excluding high income),Lower middle income,all,all,0.26773455038368,0.0,0.193609790698856,0.193609790698856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.896588352190717,0.0,0.133209678880939,0.133209678880939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.370273272469961,0.0,0.171149193931364,0.171149193931364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.184970245352396,0.0,0.078963269967634,0.078963269967634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,all,all,0.188014652359501,0.0,0.139253093178251,0.139253093178251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.737551986346894,0.0,0.20488881672416,0.20488881672416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.945867980570835,0.0,0.520091606850514,0.520091606850514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0552322253357914,0.0,0.0137609964336739,0.0137609964336739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,all,all,0.165406103840842,0.0,0.082432829956616,0.082432829956616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
East Asia & Pacific (excluding high income),Upper middle income,all,all,0.661738110531964,0.0,0.354067767090424,0.354067767090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0821385340194332,0.0,0.0447911495708899,0.0447911495708899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.95270072697356,0.0,0.448137578983115,0.448137578983115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.1746181510476,0.0,0.0640927541861393,0.0640927541861393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.801232107704602,0.0,0.308302169802094,0.308302169802094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.274293831561048,0.0,0.0672527831413654,0.0672527831413654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.18066321545044,0.0,0.0354138550245213,0.0354138550245213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
East Asia & Pacific (excluding high income),Lower middle income,all,all,0.777170918230085,0.0,0.231791781153344,0.231791781153344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,0,0,1,1,1,1,1,1,1,1,1,1,1,1
