region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,credit_card,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_old_age,saved_for_purchase,saved_no_purpose,mobile_pay_s_r,digital_payment_other,mobile_payment,mobile_payment_bill,govt_digital_pay,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,fin_resilience,emergency_funds,prefer_digital_acc,prefer_digital_fin,prefer_digital,saved_any,region_clean
Latin America & Caribbean (excluding high income),Upper middle income,laborforce,in laborforce,0.634519500266286,0.4896947667473428,0.21024678977901484,0.281580873529385,0.281580873529385,0.20553776375631722,0.20249625398204935,0.5288965657525464,0.6406267748441234,0.35937322515587644,0.2138137979583225,0.5910974121382783,0.20388484439479465,0.5004919372261244,0.20236261512886694,0.1940061882668953,0.4067943770237189,0.25917995478346073,0.2462206320330078,0.13218993429850087,0.186546852953611,0.1513499307355041,0.12807948913212755,0.1828642848892293,0.526926843991039,Latin America & Caribbean
High income,High income,laborforce,out of laborforce,0.783440196269689,0.32337710634189937,0.11262120897267067,0.0839145879856964,0.0839145879856964,0.12196298672696204,0.1176202123633506,0.35168920653038294,0.5446730580974704,0.45532694190252965,0.09201708638529763,0.4593983410887459,0.10910063364273201,0.3726589991109941,0.05460382976398093,0.06817380523118438,0.1060244460579603,0.06321643135445387,0.05118070885423512,0.25325272689846035,0.201141826868376,0.13380661999289406,0.12970795142130592,0.26244870190176905,0.27155641335671393,High income countries
High income,High income,laborforce,in laborforce,0.975262226224023,0.5595775997319123,0.22933645956242033,0.157223521216801,0.157223521216801,0.31857997063325155,0.3125968005475423,0.5014225338533307,0.7539952868314604,0.24600471316853978,0.2003673581574424,0.6324664273721322,0.251546053820472,0.4615516760432713,0.27597819314555205,0.31295148070509254,0.49543291375091086,0.3261002837307361,0.3001537965093357,0.17645143841511052,0.480720643347192,0.14855039481773635,0.17667275316077738,0.25478460448516904,0.39526450363626775,High income countries
High income,High income,laborforce,out of laborforce,0.748296070872881,0.38437743462897533,0.21975490408855639,0.240444166569787,0.240444166569787,0.25053732509865384,0.25053732509865384,0.637667693636367,0.6133080081163294,0.38669199188367076,0.381894685520172,0.7408039107499441,0.3811750067392704,0.3113438217868974,0.07942493274123376,0.08110935561399271,0.1105353337120214,0.09162278723885597,0.089938364366097,0.6858302467057975,0.306546813731276,0.5738697033457849,0.44322692905713046,0.6947156958031977,0.5467386088509956,High income countries
High income,High income,laborforce,in laborforce,0.944145499207161,0.6635345632156082,0.5216651613724615,0.360884168173549,0.360884168173549,0.5490216039122309,0.5490216039122309,0.5705838139035408,0.6766954004540635,0.32330459954593677,0.4372231877841358,0.7398510454897018,0.4875612465263443,0.2575966858924653,0.552776281151196,0.5679956919205057,0.832723628243887,0.7986361186576776,0.780684192824308,0.18354254359903108,0.592782955844589,0.28409133214545884,0.29684069708757777,0.30735551370282777,0.6166356309144679,High income countries
High income,High income,laborforce,out of laborforce,0.62048072809682,0.36782857637081257,0.25306276953519824,0.232665603467231,0.232665603467231,0.17139212732457385,0.17139212732457385,0.5110242715185327,0.5987206973520491,0.42286649635385787,0.2571097900246869,0.568184501464379,0.2522684534547018,0.2781238913459257,0.06582605012488021,0.07010520917592614,0.1268030979610442,0.09133467126638967,0.08562590380672835,0.5792414339675116,0.116788053432945,0.3875191165557014,0.2942833633220396,0.5913020043206367,0.48317738441710495,High income countries
High income,High income,laborforce,in laborforce,0.947209165005243,0.6146604690643857,0.6262570723077518,0.447194789590264,0.44719478959026393,0.39748731588950603,0.3968385693096212,0.8029120556193479,0.7653191618137074,0.31225205934169664,0.4636113057657584,0.6571850730237183,0.45332906877104107,0.15889781412918716,0.39397177018987994,0.40458952561940253,0.720354338643501,0.6105755119515692,0.5993971468665721,0.23441087875089353,0.376277432043446,0.32906770262086954,0.28161067745495555,0.37427276035566925,0.6927796044574956,High income countries
High income,High income,laborforce,out of laborforce,0.993243068427252,0.4027547282695405,0.5291042095812405,0.416515602974612,0.416515602974612,0.30465381719722523,0.3046538171972253,0.7146893122096308,0.6814645051737577,0.3185354948262419,0.6773083468960844,0.7621230547659766,0.6743718092075969,0.16592660744349894,0.14353226545241507,0.15105217890784556,0.2250287509966367,0.20269817810484236,0.19723659171803845,0.6401939731212347,0.318146999403266,0.5372812614478488,0.3715635764770325,0.6608964970797282,0.6062882471773262,High income countries
High income,High income,laborforce,in laborforce,1.0,0.626776550269351,0.6661757821853874,0.659912641385175,0.659912641385175,0.5493437787153461,0.5493437787153461,0.820536429866636,0.8369812995894454,0.2107102671136844,0.7544008307908961,0.8447486318981807,0.7499648413967859,0.13112629465268733,0.502266866000937,0.508288792472441,0.6910638168996222,0.6549866461997087,0.6467383634074826,0.3426333701759061,0.532853740681042,0.344053616504253,0.3257809669069483,0.41991435112951286,0.8340138021861558,High income countries
Middle East & North Africa (excluding high income),Lower middle income,laborforce,out of laborforce,0.0544317427755399,0.3423183023590888,0.07762596618871856,0.072009718109592,0.07154136036977787,0.05984721134953824,0.05987473206430602,0.5283720880222542,0.588483545182231,0.506884882472541,0.09471881456940787,0.39106295097191235,0.09919062447815472,0.37552645036847343,0.015847749287409396,0.017689612963044887,0.038076730849761375,0.02163780813327887,0.016416117756205745,0.147343677169759,0.0489784150332605,0.09856923272466278,0.10449765154764948,0.15171578759820692,0.19459006583574906,Middle East & North Africa
