regionwb24_hi,incomegroupwb24,group,group2,borrow_any_t_d,fin26a,fin17a_17a1_d,fin17a,fin22a_22a1_22g_d,fin22a,fin24aSD_ND,fin24aP,fin24aN,fin31a_31b,fin30,fin31a,fin31d,fin32_n33_34a,fin32_n33_acc,fin32,fin32_acc,fin34a,fin37_38,fin10,fing2p_acc,fing2p_fin,fing2p,save_any_t_d,account_t_d
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.47158870080466836,0.23495421058452842,0.199036913389363,0.199036913389363,0.19271312508642377,0.19037851438000164,0.5216073070629712,0.7477553766615815,0.25224462333841874,0.16728679861380666,0.581849590456591,0.14694252838154245,0.3806364364557161,0.10901202592856998,0.12024517297711326,0.30536059870091387,0.1800256755313454,0.16719643356765396,0.173302546895159,0.12227430508780202,0.17550637872790636,0.1410340230412681,0.23282861602317856,0.5031826777908276,0.50358727770345
High income,High income,all,all,0.507829258612047,0.2497683313246793,0.12231137162293998,0.12231137162293998,0.366177578895449,0.36427948303540564,0.5651128397259063,0.6718143421966003,0.3281856578033997,0.17549576379476428,0.6598177425113454,0.16540973875836934,0.4520481798772168,0.14266465701555964,0.16743746665223413,0.38802342620490615,0.23761566059170378,0.2066447312075952,0.24615037938561968,0.347575922315545,0.20634720651547594,0.14386682078900564,0.3089776197035767,0.36365293143860467,0.883910202534742
High income,High income,all,all,0.5708949796647946,0.4453467212783446,0.304449669363736,0.304449669363736,0.40842945592375157,0.40842945592375157,0.668055627454803,0.6095521058579716,0.39044789414202824,0.3946895702349389,0.675479624906438,0.37670467747542,0.2514681428176027,0.3788648187627347,0.3929771200482119,0.5633678482916156,0.5190202661629164,0.5033059682285255,0.2758617404998523,0.458661459611442,0.3460600829799822,0.239056200262173,0.3912405705905211,0.6038746619542696,0.852376450858957
High income,High income,all,all,0.5588839213366912,0.5858440544334234,0.354813302471348,0.354813302471348,0.329533165290787,0.3291067706321593,0.7741418745388053,0.8362992776414698,0.16370072235852998,0.37598882122862526,0.5849379096052194,0.3677655549350543,0.13200120089740314,0.27758090575185185,0.28282389126769997,0.542269283795035,0.43077119351132,0.4246072268068861,0.24145818446161454,0.264534992141336,0.2648327853528194,0.24987691207730192,0.33790609569511154,0.616022147890615,0.806511950648924
High income,High income,all,all,0.5594967166426645,0.609165807247968,0.565099313186307,0.565099313186307,0.46404267407176675,0.4628991458834477,0.7819521603829208,0.7944128504823634,0.20558714951763676,0.7195273334616852,0.7914306115148135,0.7133945412999911,0.023458676574482917,0.38695709034384856,0.39252168930153974,0.5275349205911364,0.5037267873216122,0.4988093764996792,0.394805386337482,0.449216483382369,0.38420938655615516,0.34190515243401876,0.4598774418915347,0.7664959878901204,0.997367892497757
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.4509856940216761,0.019481615526471985,0.03350699604644039,0.03350699604644039,0.06095013657302256,0.06045499836911511,0.5658653818359001,0.7536776929861817,0.24632230701381833,0.033008380768450696,0.4944813251861999,0.02837054609405837,0.4541890624160997,0.03878668676883207,0.04685171997227422,0.2567648340140504,0.07764858282765516,0.06797514796695994,0.10198849365535465,0.03968912313729159,0.09120019080181227,0.07116986075821038,0.12898727980792246,0.24758148524287066,0.122738820555453
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.43845727777746624,0.17893039080544404,0.15972159028844296,0.159721590288443,0.19867853822842302,0.19210619149225178,0.5378721162078005,0.901281123510576,0.09871887648942401,0.17964670457454668,0.5812406478452854,0.14670290314412499,0.3739668470315148,0.10438506890662125,0.11324165771641685,0.2866439842223853,0.1636263109879455,0.1530241867281062,0.18441187883157395,0.12230399431667899,0.16192545909553385,0.13952078295189646,0.23424281742980513,0.38414436034567384,0.382046711827488
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.37474911949554657,0.1411737989015983,0.145067546308968,0.145067546308968,0.18419047076063486,0.18320289223233183,0.5265320776267131,0.6853325705795051,0.3146674294204949,0.09741143639068298,0.582232011587908,0.08465624810082756,0.4633767186016513,0.08003967116551672,0.08479750463084693,0.26891087575673,0.1393992257017619,0.13115869240994874,0.16136911099448908,0.101871119106092,0.13715266112274904,0.1023206210952865,0.21172788357979608,0.385000982921727,0.36735500850728
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.4124407533405296,0.02228327568978483,0.006926641010561507,0.006926641010561507,0.05346963273699695,0.05308887306607862,0.5479889566677569,0.7434053665639461,0.25659463343605393,0.024315936112320746,0.4530499369444697,0.021224492944409645,0.42096538385773147,0.03544484489831376,0.03969049399133612,0.22629050700224612,0.06634600732309523,0.060276669598545135,0.11536494404003597,0.013928723357002515,0.1018311079407643,0.07231548038864358,0.14503279515033413,0.22683194181168792,0.0971998059496632
Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.374886196279856,0.0651953529493563,0.129120020722092,0.129120020722092,0.13413650152472556,0.1330874385093796,0.5170192576002317,0.6008471128684446,0.3991528871315555,0.10542056575778172,0.4845912260715062,0.0889667555095141,0.3519705423140669,0.05045066983466917,0.054567871861547046,0.20879073421318933,0.09062098699276483,0.0838339992046464,0.10950485337199892,0.0532539395490608,0.0649100777845808,0.05662001347608578,0.1498202700240524,0.4174653639113101,0.137646151544156
High income,High income,all,all,0.5083296641189897,0.43599191033574825,0.288711906324947,0.288711906324947,0.30973819607615516,0.30973819607615516,0.6387022864726462,0.6631302406225285,0.3368697593774718,0.39173029697939615,0.6038511111607734,0.39064992902289897,0.1604733128318715,0.31886652613773064,0.32590489091127617,0.5302573443445542,0.43545377940614916,0.4283432586605487,0.3505555724467824,0.302207245050803,0.3643480899264193,0.3258661641094891,0.43109171510778255,0.5280748657405009,0.968242760223261
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.5254666302506326,0.06125565855383036,0.177559971126301,0.177559971126301,0.09393142288522877,0.0917743568753911,0.4733460540208559,0.6539327852182707,0.34606721478172936,0.06738250600616316,0.35426540021158337,0.052692241616140056,0.2313913648576652,0.03917321140297858,0.059130098843764495,0.1846933245872568,0.10545375622281022,0.08103345971092632,0.10264749877234655,0.13279510022715,0.08109407287108789,0.07114479153902381,0.13159915412643913,0.5194697798068941,0.285694412970381
High income,High income,all,all,0.693470454315949,0.6428434835006542,0.561382686758629,0.561382686758629,0.60372224254333,0.6037222425433301,0.8107523989798526,0.7985153311331259,0.20148466886687424,0.7313972201770567,0.8315906029948713,0.7285708526621194,0.043256856193982285,0.37106486995351384,0.3736300361139608,0.5453280402205376,0.5142238575360814,0.5120609799273177,0.4335024027433856,0.638745516488508,0.38556935993190233,0.3668245189058812,0.4957138394179662,0.7259363647151993,0.996512520212112
High income,High income,all,all,0.5034618176193546,0.5016448435309102,0.495179305396728,0.49517930539672805,0.4191316222693614,0.4191316222693614,0.7521276126598827,0.8054457868390992,0.1945542131609007,0.565917326264224,0.7298207902405072,0.5646573121659142,0.07652893396582178,0.33424075120747243,0.34092726978291665,0.5002034078028773,0.45075067751458064,0.44420793985872203,0.3453832354728595,0.375224173115687,0.3508419205391035,0.33194336041365735,0.4170959687329435,0.676847384804448,0.969838847229744
Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.46444304618724386,0.08982067746927816,0.08661424521958311,0.08661424521958311,0.0682539300979218,0.06825393009792177,0.4279971628972461,0.36598421321954694,0.6340157867804532,0.09418580664171608,0.31130885772697015,0.034859618045213925,0.18917453181163826,0.03861335667611973,0.0575425760609205,0.23758169773491988,0.10119925440452757,0.07847092337804898,0.11304877849670475,0.027215235607076643,0.08416008067368419,0.06698460074482387,0.15254920811299771,0.530744551277841,0.189465176301576
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.4926261127940056,0.13870260367298157,0.010456214866957192,0.010456214866957192,0.21753182299830548,0.21566717167419175,0.5683671745678549,0.582034354073183,0.41796564592681723,0.075335418003425,0.619551666490792,0.06608145586886735,0.525153590126302,0.0485384619366529,0.061644623020698674,0.259371839251394,0.12438532381455669,0.09045095387400678,0.24462568320132438,0.08788889156254831,0.21608926115328878,0.1167871614014045,0.3183994790531079,0.24305091006267482,0.329809681896803
